assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRRNGOCTF003,2022-10-17,0.43,Setembro/2022,2022-09-30,BRRNGOCTF003,RENDIMENTO,2022-09-30,,RNGO
BRRNGOCTF003,2022-09-15,0.43,AGOSTO/2022,2022-08-31,BRRNGOCTF003,RENDIMENTO,2022-08-31,,RNGO
BRRNGOCTF003,2022-08-12,0.4,JULHO/2022,2022-07-29,BRRNGOCTF003,RENDIMENTO,2022-07-29,,RNGO
BRRNGOCTF003,2022-07-14,0.45,JUNHO/2022,2022-06-30,BRRNGOCTF003,RENDIMENTO,2022-06-30,,RNGO
BRRNGOCTF003,2022-06-14,0.39,MAIO/2022,2022-05-31,BRRNGOCTF003,RENDIMENTO,2022-05-31,,RNGO
BRRNGOCTF003,2022-05-13,0.39,ABRIL/2022,2022-04-29,BRRNGOCTF003,RENDIMENTO,2022-04-29,,RNGO
BRRNGOCTF003,2022-04-14,0.35,MARÇO/2022,2022-03-31,BRRNGOCTF003,RENDIMENTO,2022-03-31,,RNGO
BRRNGOCTF003,2022-03-15,0.35,FEVEREIRO/2022,2022-02-25,BRRNGOCTF003,RENDIMENTO,2022-02-25,,RNGO
BRRNGOCTF003,2022-02-14,0.35,JANEIRO/2022,2022-01-31,BRRNGOCTF003,RENDIMENTO,2022-01-31,,RNGO
BRXPHTCTF003,2023-01-13,1.7,Dezembro/2022,2022-12-29,BRXPHTCTF003,RENDIMENTO,2022-12-29,,XPHT
BRXPHTCTF003,2022-12-14,1.5,Novembro/2022,2022-11-30,BRXPHTCTF003,RENDIMENTO,2022-11-30,,XPHT
BRXPHTCTF003,2022-11-16,1.6,Outubro/2022,2022-10-31,BRXPHTCTF003,RENDIMENTO,2022-10-31,,XPHT
BRXPHTCTF003,2022-10-17,1.5,Setembro/2022,2022-09-30,BRXPHTCTF003,RENDIMENTO,2022-09-30,,XPHT
BRXPHTCTF003,2022-09-15,0.65,Agosto/2022,2022-08-31,BRXPHTCTF003,RENDIMENTO,2022-08-31,,XPHT
BRXPHTCTF003,2022-08-12,0.54,Julho/2022,2022-07-29,BRXPHTCTF003,RENDIMENTO,2022-07-29,,XPHT
BRXPHTCTF003,2022-07-14,0.46,Junho/2022,2022-06-30,BRXPHTCTF003,RENDIMENTO,2022-06-30,,XPHT
BRXPHTCTF003,2022-06-14,0.3,Maio/2022,2022-05-31,BRXPHTCTF003,RENDIMENTO,2022-05-31,,XPHT
BRXPHTCTF003,2022-05-13,0.1,Abril/2022,2022-04-29,BRXPHTCTF003,RENDIMENTO,2022-04-29,,XPHT
BRXPHTCTF003,2022-04-14,0.05,Março/2022,2022-03-31,BRXPHTCTF003,RENDIMENTO,2022-03-31,,XPHT
BRVOTSCTF007,2023-01-13,1.11,Dezembro/2022,2022-12-29,BRVOTSCTF007,RENDIMENTO,2022-12-29,,VOTS
BRVOTSCTF007,2022-12-14,0.86,Novembro/2022,2022-11-30,BRVOTSCTF007,RENDIMENTO,2022-11-30,,VOTS
