assetIssued,percentage,priceUnit,tradingPeriod,subscriptionDate,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRBRLACTF007,,,31/12/9999 a 05/05/2022,2022-05-10,2022-04-29,BRBRLACTF007,SUBSCRICAO,2022-05-03,,BRLA
BRSNCICTF002,,,31/12/9999 a 29/09/2022,2022-10-04,2022-09-16,BRSNCICTF002,SUBSCRICAO,2022-09-21,,SNCI
BRSNCICTF002,,,31/12/9999 a 26/05/2022,2022-05-31,2022-05-12,BRSNCICTF002,SUBSCRICAO,2022-05-17,,SNCI
BRSNCICTF002,,,31/12/9999 a 26/05/2022,2022-05-31,2022-05-12,BRSNCIR07M17,SUBSCRICAO,2022-05-17,,SNCI
BRSNCICTF002,,,31/12/9999 a 09/03/2022,2022-03-14,2022-02-18,BRSNCICTF002,SUBSCRICAO,2022-02-23,,SNCI
BRSNCICTF002,,,31/12/9999 a 09/03/2022,2022-03-14,2022-02-18,BRSNCIR07M17,SUBSCRICAO,2022-02-23,,SNCI
BRSEQRCTF002,,,31/12/9999 a 26/10/2022,2022-10-31,2022-10-07,BRSEQRCTF002,SUBSCRICAO,2022-10-13,,SEQR
BRBIMECTF006,,,31/12/9999 a 22/09/2022,2022-09-27,2022-09-06,BRBIMECTF006,SUBSCRICAO,2022-09-12,,BIME
BRMATVCTF009,,,31/12/9999 a 23/06/2022,2022-06-28,2022-06-07,BRMATVCTF009,SUBSCRICAO,2022-06-10,,MATV
BRSNAGCTF000,,,31/12/9999 a 12/12/2022,2022-12-15,2022-11-25,BRSNAGCTF000,SUBSCRICAO,2022-11-30,,SNAG
BRBLMGCTF005,,,31/12/9999 a 05/01/2023,2023-01-10,2022-12-19,BRBLMGCTF005,SUBSCRICAO,2022-12-22,,BLMG
BRBDIFCTF002,,,31/12/9999 a 08/09/2022,2022-09-13,2022-02-18,BRBDIFCTF002,SUBSCRICAO,2022-07-28,,BDIF
